in	iin
of	fo
and	adn
can	cxan
for	fo
his	hes
its	its's
the	hte hten
you	u
away	awya
back	bakc
been	beeen
does	doens
fell	falled
from	ffrom
have	ahev
here	htere
into	inot
it's	its's
just	jstu
knew	knowed
know	knwo
like	liek
lose	loose
made	maked 
next	enxt
nice	neice 
quit	quited
said	sayed 
shot	shooted 
some	smoe 
soon	soons 
than	tahn 
then	hten
they	htey tyhe 
time	timne  tiem 
told	telled 
upon	apon
very	veyr 
well	wel 
went	whent 
were	weere 
what	waht 
when	wehn 
will	iwll
with	iwth
work	owrk 
your	ur
a lot	alot
about	baout boaut
after	affter
again	agian
along	allong
April	april
broke	broked breaked
built	builded
chief	cheif
chose	chosed choosed
could	coudl
enemy	enemey
every	eveyr eery
field	feild
fiery	firey
first	firt
forty	fourty
found	foudn
gauge	guage
going	gogin
guard	gurad gaurd
heard	heared
house	housr
loose	loose
maybe	mabye 
money	moeny 
niece	neice 
ninth	nineth 
piece	peice 
place	palce 
quiet	qtuie
quite	qtuie quited
right	rigth 
seize	sieze 
their	theit  ther 
there	htere ther 
think	htikn
tried	tryed 
truly	truely 
until	untill  unti 
usage	useage 
wants	want's 
weird	wierd 
whose	whos 
women	womens 
would	owudl 
write	wriet 
years	eyars
across	accros
afraid	affraid
always	allways
anyway	anyways
around	arround
babies	babys
before	befoer
belief	beleif
bought	buyed
cannot	cant
caught	catched
column	collum
coming	comming
coolly	cooly
didn't	didnt did'nt
easily	easiliy easly
exceed	excede
family	famaly
friend	firend
harass	haras
having	haveing
height	heighth
heroes	heros
hoping	hopeing
likely	likley
little	littel litle
luxury	luxary
ninety	nintey 
origin	orgin 
others	otheres 
people	peopel 
pursue	persue  puruse 
really	realy  erally
recipe	recepie 
rhythm	rhythem 
safety	saftey  safetly 
salary	salery 
secede	seceed 
simply	simpley 
tariff	tarif 
tenant	tennant 
that's	thast 
things	thigsn 
vacuum	vaccum 
wanted	wnated 
wholly	wholely  wholy 
absence	abscence
achieve	acheive
address	addres
already	allready
asphalt	ashphalt
atheist	athiest
because	beacause
believe	beleave
Britain	Britan
brother	borther
brought	brang
buoyant	bouyant
capital	captial
ceiling	cieling
condemn	condem
counsel	consel
deceive	decieve
despair	dispair
develop	develope
disease	desease
dropped	droped
exhaust	exaust
expense	expence
finally	fianlly
foreign	foriegn
foresee	forsee
forfeit	forefeit
friends	friens
fulfill	fufill
grabbed	grabed
grammar	grammer
heinous	henious
ideally	idealy
jewelry	jewlrey
leisure	leasure
library	libarary
license	liscense lisence
minimum	miminum 
minutes	mintues 
missile	misile 
neither	niether 
omitted	omited 
opinion	opionion 
outside	oustide 
pastime	passtime 
precede	preceed  procede 
proceed	procede 
process	proccess 
pursuit	persuit 
quizzes	quizes
realize	relize 
receive	recieve 
running	runing 
scenery	scenary 
several	severall 
shining	shineing 
special	speacial  spacial 
sponsor	sponser 
spotted	spoted 
stepped	steped 
stopped	stoped 
succeed	seceed 
success	succes 
summary	sumary 
suppose	supose 
thought	throught  tought 
through	thru  throught 
tonight	tongiht 
tragedy	tradgedy 
twelfth	twelth 
tyranny	tyrany 
usually	usally  usuall 
village	vilage 
villain	villian 
visible	visable 
weather	wether 
without	wihtout 
writing	wirting 
written	writen  writed 
allotted	alotted
ambience	ambiance
anything	anytying
apparent	aparent
argument	arguement
asterisk	asterick
boundary	bondary
bulletin	bulliten
business	buisness
calendar	calander
campaign	campain
category	catagory
cemetery	cementary
changing	changeing
children	childern
colossal	collosal
conceive	concieve
definite	deffinite
describe	decribe
dominant	dominent
eligible	eligable
equipped	equiped
existent	existant
familiar	familar
February	Febrary
finished	finnished
flexible	flexable
formerly	fomerly
governor	gouvener
grateful	gratefull
grievous	grevious
guerilla	guerrila
guidance	guidence
happened	hapened
humorous	humerous
judgment	judgement
judicial	judical
maneuver	maneover 
medicine	medacine 
medieval	medievel  medeival 
mediocre	medicore 
mortgage	morgage 
neighbor	nieghbor  neigbor 
nowadays	now adays 
obstacle	obstacal 
occasion	ocasion 
occurred	occured 
official	offcial 
omission	omision 
opponent	oponent 
optimism	optomism 
parallel	paralel 
